"Información del sitio:","EZEIZA"
Id. de licencia:,
Uso de licencias del sitio:,Canales de la cámara: 608/674,Orígenes de TPV: 1/1,Canales LPR6: 3/3

Avigilon Cloud Services:,Error desconocido
"22/12/2025 14:35:02"

Información general:
Nombre de servidor,Versión del servidor:,IP del servidor:,Nombre del modelo:,Nombre del sistema:,Etiqueta de mantenimiento:,Tipo de GPU:,Sistema operativo:,Carga de CPU:,Uso de la memoria:,Memoria disponible del sistema:,Tiempo de actividad:,Servicio LPR:,Versión de LPR:,Servicio de análisis:,Versión de servicio de análisis:,Carga máxima (últimos 3 días):
"EZE01","7.14.20.14","10.116.85.20","PowerEdge R740xd","EZE1","357VMR2","Windows Server 2012 R2","Unknown","10%","5882,2 MB","22477,4 MB","22 días, 0 horas, 53 minutos, 9 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE01","533-PERIMETRO 13","Avigilon (ONVIF)","2.0W-H3-BO2-IR","POSTE 10 / PERIMETRO-OPTICA"," ID lógico:533","Device,1.1.00188519c4f8,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188519c4f8.cam00","10.116.83.51","00:18:85:19:C4:F8","2.6.0.174(28266)","2.6.0.180","101707268824","True","False","None","FirmwareUpgradeRequied","2216","1920x1080","9","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","3008-PLA-POSICION-04","Avigilon (ONVIF)","5.0-H3-BO1-IR","MANGA 04"," ID lógico:3008","Device,1.1.00188516813f,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188516813f.cam00","10.116.80.34","00:18:85:16:81:3F","2.6.0.140(15662)","2.6.0.180","101702034879","True","False","None","FirmwareUpgradeRequied","1512","2592x1944","8","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","3020-PLA-POSICON 12-13","Avigilon (ONVIF)","5.0-H3-BO1-IR","POSICION 12/13-TORRE-02"," ID lógico:3020","Device,1.1.00188516813d,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188516813d.cam00","10.116.80.28","00:18:85:16:81:3D","2.6.0.174(28266)","2.6.0.180","101702034877","True","False","None","FirmwareUpgradeRequied","1200","2592x1944","9","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","3023-PLA-POSICION-18 BRAVO","Avigilon (ONVIF)","5.0-H3-BO1-IR","PLA-POSICION-18 BRAVO"," ID lógico:3023","Device,1.1.0018851c2dbb,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018851c2dbb.cam00","10.116.83.27","00:18:85:1C:2D:BB","2.6.0.174(28266)","2.6.0.180","101711166715","True","False","None","FirmwareUpgradeRequied","896","2592x1944","9","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","3010-PLA-POSICION-06 I","Avigilon (ONVIF)","5.0-H3-BO1-IR","MANGA 06"," ID lógico:3010","Device,1.1.0018851cfd68,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018851cfd68.cam00","10.116.80.49","00:18:85:1C:FD:68","2.6.0.174(28266)","2.6.0.180","101712209880","True","False","None","FirmwareUpgradeRequied","3432","2592x1944","8","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","3019-PLA-POSICION-11 A","Avigilon (ONVIF)","5.0-H3-BO1-IR","POSICION 11 ALFA/BRAVO-TORRE-01"," ID lógico:3019","Device,1.1.0018851d0e81,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018851d0e81.cam00","10.116.80.29","00:18:85:1D:0E:81","2.6.0.174(28266)","2.6.0.180","101712224257","True","False","None","FirmwareUpgradeRequied","3704","2592x1944","8","13","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","316-PK (E2) - TORRE-IZQ","Avigilon","16L-H4PRO-B","NTP - MULTINIVEL / NIVEL-TERRAZA"," ID lógico:316","Device,1.1.00188523382c,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188523382c.cam00","10.116.80.40","00:18:85:23:38:2C","3.16.0.252(26079)","4.4.0.80","101810118140","True","False","None","FirmwareUpgradeRequied","29000","4944x3280","6","10","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","824-NTP-HPART 20","Avigilon (ONVIF)","3.0C-H4A-DO1-IR-B","HALL PARTIDAS"," ID lógico:824","Device,1.1.001885255354,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.001885255354.cam00","10.116.82.195","00:18:85:25:53:54","4.10.4.72(32621)","4.10.4.72","101902016164","True","True","None","Online","1344","2048x1536","14","7","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","885-NTP-BODY SCAN 02-01","Avigilon (ONVIF)","3.0C-H4SL-D1-IR","NTP-PLANTA ALTA"," ID lógico:885","Device,1.1.001885289353,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.001885289353.cam00","10.116.82.94","00:18:85:28:93:53","3.28.0.82(27700)","4.14.0.102","101907169155","True","False","None","FirmwareUpgradeRequied","408","2048x1536","8","10","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","TA-MIG-ESC ARR","Avigilon (ONVIF)","5.0L-H4A-D1-IR-B","MIGRACIONES","","Device,1.1.00188528f003,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188528f003.cam00","10.116.80.183","00:18:85:28:F0:03","4.10.4.72(32621)","4.10.4.72","101908012883","True","True","None","Online","2456","2592x1944","10","15","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
