Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'C:\Repositorio\gestorcoc\backend\src\core\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
[27/Feb/2026 07:28:43] "GET /api/cameras/ HTTP/1.1" 200 16489
[27/Feb/2026 07:28:43] "GET /api/hechos/ HTTP/1.1" 200 73683
[27/Feb/2026 07:29:04] "OPTIONS /api/hechos/ HTTP/1.1" 200 0
[27/Feb/2026 07:29:04] "POST /api/hechos/ HTTP/1.1" 201 421
[27/Feb/2026 07:29:04] "GET /api/hechos/ HTTP/1.1" 200 74105
[27/Feb/2026 07:29:18] "OPTIONS /api/hechos/26/ HTTP/1.1" 200 0
[27/Feb/2026 07:29:18] "PATCH /api/hechos/26/ HTTP/1.1" 200 425
[27/Feb/2026 07:29:18] "GET /api/hechos/ HTTP/1.1" 200 74109
[27/Feb/2026 07:29:30] "DELETE /api/hechos/26/ HTTP/1.1" 204 0
[27/Feb/2026 07:29:31] "GET /api/hechos/ HTTP/1.1" 200 73683
[27/Feb/2026 07:30:01] "GET /api/units/ HTTP/1.1" 200 368
[27/Feb/2026 07:30:01] "GET /api/people/ HTTP/1.1" 200 46814
[27/Feb/2026 07:30:29] "OPTIONS /api/video-analysis-improve-text/ HTTP/1.1" 200 0
[27/Feb/2026 07:30:36] "POST /api/video-analysis-improve-text/ HTTP/1.1" 200 767
[27/Feb/2026 07:31:41] "POST /api/video-analysis-improve-text/ HTTP/1.1" 200 605
[27/Feb/2026 07:31:42] "POST /api/video-analysis-improve-text/ HTTP/1.1" 200 599
[27/Feb/2026 07:32:19] "GET /api/servers/ HTTP/1.1" 200 19308
[27/Feb/2026 07:32:19] "GET /api/systems/ HTTP/1.1" 200 20934
[27/Feb/2026 07:32:19] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:32:19] "GET /api/cameras/ HTTP/1.1" 200 16489
[27/Feb/2026 07:32:19] "GET /api/people/ HTTP/1.1" 200 46814
[27/Feb/2026 07:34:07] "GET /api/film-records/ HTTP/1.1" 200 46201
[27/Feb/2026 07:34:07] "DELETE /api/film-records/141/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:07] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:34:08] "GET /api/hechos/ HTTP/1.1" 200 73683
[27/Feb/2026 07:34:08] "GET /api/people/ HTTP/1.1" 200 46814
[27/Feb/2026 07:34:08] "DELETE /api/people/186/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:08] "GET /api/cameras/ HTTP/1.1" 200 16489
[27/Feb/2026 07:34:08] "DELETE /api/cameras/1971/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:08] "GET /api/servers/ HTTP/1.1" 200 18995
[27/Feb/2026 07:34:08] "DELETE /api/servers/155/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:08] "GET /api/systems/ HTTP/1.1" 200 20375
[27/Feb/2026 07:34:08] "DELETE /api/systems/43/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:08] "GET /api/cameraman-gear/ HTTP/1.1" 200 1059
[27/Feb/2026 07:34:08] "DELETE /api/cameraman-gear/25/ HTTP/1.1" 204 0
[27/Feb/2026 07:34:08] "GET /api/film-records/ HTTP/1.1" 200 45322
[27/Feb/2026 07:34:09] "GET /api/people/ HTTP/1.1" 200 46595
[27/Feb/2026 07:34:09] "GET /api/cameras/ HTTP/1.1" 200 16175
[27/Feb/2026 07:34:09] "GET /api/servers/ HTTP/1.1" 200 18748
[27/Feb/2026 07:34:09] "GET /api/systems/ HTTP/1.1" 200 20094
[27/Feb/2026 07:34:09] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:34:09] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:34:09] "GET /api/hechos/ HTTP/1.1" 200 73683
[27/Feb/2026 07:34:09,690] - Broken pipe from ('127.0.0.1', 50874)
[27/Feb/2026 07:34:21] "GET /api/units/ HTTP/1.1" 200 368
[27/Feb/2026 07:34:21] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:34:21] "GET /api/systems/ HTTP/1.1" 200 20094
